Algorithm,ArraySize,ArrayType,NoOfRuns,AvgRuntimeNs,MinRuntimeNs,MaxRuntimeNs,Comparisons,Interchanges
BubbleSort,100,RANDOM,100,750467,352211,5803687,4950,2439
InsertionSort,100,RANDOM,100,560313,306845,1674896,2561,2560
SelectionSort,100,RANDOM,100,528305,349855,1048928,4950,93
QuickSort,100,RANDOM,100,332790,108103,1228300,650,358
MergeSort,100,RANDOM,100,61513,39790,176833,541,672
HeapSort,100,RANDOM,100,233510,132486,456999,1028,579
BubbleSort,400,RANDOM,200,22427551,11658736,69209992,79800,39587
InsertionSort,400,RANDOM,200,18212252,14998566,45766251,40014,40010
SelectionSort,400,RANDOM,200,18251822,14258478,46555382,79800,390
QuickSort,400,RANDOM,200,2078641,1353684,13918646,3831,1991
MergeSort,400,RANDOM,200,583378,284707,11536066,2960,3488
HeapSort,400,RANDOM,200,2146044,1414536,13953056,5698,3100
BubbleSort,300,RANDOM,50,10185426,4993517,29965229,44850,22061
InsertionSort,300,RANDOM,50,8289404,6619645,17243300,22569,22566
SelectionSort,300,RANDOM,50,8497681,5868859,21194684,44850,291
QuickSort,300,RANDOM,50,1409268,1020697,4449643,2634,1396
MergeSort,300,RANDOM,50,246827,188073,359762,2098,2488
HeapSort,300,RANDOM,50,1540107,1151458,4722822,4021,2200
